State,Post_2005,Post_2006,Post_2007,Post_2008,Post_2009,Post_2010,Post_2011,Post_2012,Post_2013,Post_2014,Post_2015,Post_2016,Post_2017,Post_2018,Post_2019,Post_2020,Post_2021,Post_2022
Chhattisgarh_Bilaspur,4.519142857,5.315714286,4.935428571,5.383714286,5.758,5.196285714,5.369393939,3.914375,4.2903125,3.83969697,5.192424242,5.881212121,4.371935484,6.290322581,5.804375,5.866689723,5.077679868,5.320338161
Chhattisgarh_Dantewada,2.768888889,3.003333333,3.171111111,3.706666667,3.091428571,2.348333333,2.348333333,3.54,3.54,3.54,6.206,5.565,4.172857143,2.822,3.426666667,3.464389393,3.387185319,3.904370322
Chhattisgarh_Dhamtari,2.712,2.750666667,2.736,3.524,4.16,3.386666667,2.887333333,3.337333333,3.256666667,2.466,3.528666667,3.543333333,3.992666667,3.451333333,3.092666667,3.723396006,3.151160105,3.823367666
Chhattisgarh_Durg,3.301,4.096,3.594,4.441111111,4.459411765,3.272777778,4.031666667,4.080555556,3.414736842,3.6735,4.1755,4.1455,4.638421053,4.063333333,4.196842105,4.132394047,4.044940059,4.171256645
Chhattisgarh_Janjgir-Champa,2.854761905,3.19047619,3.096666667,3.100952381,3.173,3.7265,3.7715,2.740952381,3.295238095,3.634761905,4.172857143,5.125714286,4.347142857,5.156666667,5.325238095,4.340905561,4.884819198,4.860449961
Chhattisgarh_Jashpur,3.913333333,4.536296296,3.842222222,4.287037037,4.262962963,4.420740741,4.258846154,3.740769231,4.081153846,4.368518519,3.051851852,4.565185185,4.875185185,4.534444444,4.707037037,4.466023039,4.529090953,4.490798658
Chhattisgarh_Kabeerdham,3.195,3.774,4.909,5.084,5.31,4,4.954444444,4.17375,3.785555556,4.195555556,4.013333333,4.815555556,6.11,3.486,5.245,4.14871124,4.307980033,4.146515811
Chhattisgarh_Korba,4.365625,5.520625,4.829375,5.111875,5.415,5.449375,4.725625,4.363333333,5.460666667,3.888666667,5.785333333,5.852666667,5.582142857,5.569285714,4.939285714,4.990764035,5.09193849,5.181236454
Chhattisgarh_Koriya,5.536470588,5.074705882,4.221176471,3.75,5.454375,4.578,3.900666667,3.430714286,4.56875,3.62,4.4925,3.766875,4.582941176,5.337058824,5.535882353,4.198657011,3.799578037,4.967632709
Chhattisgarh_Mahasamund,5.311904762,5.111904762,4.503333333,5.305238095,5.564736842,5.113684211,6.0505,4.985555556,4.517777778,3.482105263,4.982105263,5.585,5.469473684,4.368888889,4.548235294,4.441643171,4.344494361,4.333435765
Chhattisgarh_Raigarh,3.35137931,4.278275862,3.62137931,3.912068966,4.386896552,4.196785714,4.038214286,3.201428571,3.986666667,3.691428571,3.216428571,4.680357143,4.876923077,4.724615385,3.866538462,4.533085633,4.059716068,4.608808036
Chhattisgarh_Raipur,2.432325581,3.132325581,2.64,4.017209302,3.319268293,2.729268293,4.004634146,3.498536585,4.05627907,3.516046512,4.086666667,4.058974359,4.439444444,4.597027027,3.85,4.443059715,3.965296803,4.440203236
Chhattisgarh_Rajnandgaon,2.931363636,3.932272727,3.783181818,5.098636364,5.062857143,4.4085,4.718421053,5.356470588,4.213529412,3.854375,5.393684211,5.611111111,6.612222222,6.032941176,6.261764706,5.752279641,5.591834843,5.630697827
Chhattisgarh_Surguja,5.640697674,5.608837209,5.397209302,5.536046512,6.394651163,7.186904762,6.007142857,5.188333333,6.01255814,6.300714286,6.378333333,6.551627907,6.486578947,7.193428571,6.792424242,7.037801867,6.457430129,7.159892325
Chhattisgarh_Uttar Bastar Kanker,3.54,3.954545455,4.307272727,5.099090909,4.984,6.159,6.159,6.215,5.255,3.035,6.484,5.743636364,3.704545455,4.228181818,5.154545455,4.438447554,4.286809998,4.596267002
Dadra and Nagar Haveli_Dadra and Nagar Haveli,4.633333333,3.34,3.316666667,4.168333333,3.045,3.7,3.865,3.386666667,3.265,4.966666667,3.305,3.321666667,3.983333333,4.233333333,3.156666667,4.04961223,4.167733525,3.996874428
Daman and Diu_Daman,4.493333333,2.256666667,4.07,3.24,3,3.376666667,1.906666667,4.566666667,4.143333333,4.023333333,2.643333333,3.71,3.343333333,2.673333333,3.976666667,2.942556217,3.617871382,3.376767318
Daman and Diu_Diu,2.25,3.15,2.95,3.45,2.75,3.35,3.26,3.26,9.23,4.7,2.9,4.01,3.24,4.27,5.1,4.027129464,4.806091412,3.88545296
Goa_North Goa,4.7355,4.3985,3.8015,4.2605,4.131,3.788,4.5725,4.034,4.2505,3.7425,3.958,4.249,4.548,4.0865,3.628947368,4.35791701,3.740951367,4.326658017
Goa_South Goa,4.6585,5.2235,4.713,5.5455,5.193,4.579,5.238,5.446,4.888,4.046,4.8865,4.886,4.4635,4.849,4.9275,4.511374098,4.231068465,4.637657809
Gujarat_Ahmadabad,27.1346875,25.63,23.880625,23.21612903,24.92064516,18.596,23.49766667,27.92266667,22.08806452,23.86741935,20.8516129,19.69571429,18.91777778,18.38535714,19.08925926,20.75829872,20.76634705,20.55622371
Gujarat_Amreli,11.24214286,8.884561404,7.533333333,7.647321429,11.70785714,9.714107143,9.341607143,13.64535714,11.99767857,13.70163636,11.35388889,12.29528302,13.75568627,12.73862745,10.29102041,12.96623061,11.86965463,12.93808333
Gujarat_Anand,10.13636364,8.000909091,8.682272727,7.853181818,10.12181818,8.591818182,10.35272727,11.07,9.659047619,9.045714286,10.60571429,10.86190476,10.80857143,11.633,10.9075,11.55606015,10.17647573,11.88273496
Gujarat_Banas Kantha,29.61457143,25.91085714,26.172,27.58647059,29.21606061,28.93363636,30.76064516,31.08129032,30.38,31.624,32.89566667,30.85586207,29.61214286,31.61772727,35.60545455,31.84403591,31.07214883,31.86694362
Gujarat_Bharuch,4.913125,5.075,4.255,4.5225,5.8765625,4.958125,5.56,4.928125,4.988387097,4.327741935,5.610645161,5.080322581,4.771290323,3.772580645,3.287,4.604074039,3.663772569,4.544164118
Gujarat_Bhavnagar,7.296086957,6.11106383,4.565319149,5.868043478,10.02422222,7.235333333,7.6175,11.79162791,5.620888889,11.28369565,12.45777778,11.53363636,8.095714286,8.05804878,5.472,10.16824513,9.72420307,8.420340863
Gujarat_Dahod,5.694090909,3.208636364,3.297727273,5.734545455,6.984545455,5.706818182,4.996818182,4.520909091,4.395909091,4.636363636,6.38,5.256363636,5.710454545,4.511818182,3.598181818,4.696588211,4.137639385,4.774082672
