,State,Pre_2005,Pre_2006,Pre_2007,Pre_2008,Pre_2009,Pre_2010,Pre_2011,Pre_2012,Pre_2013,Pre_2014,Pre_2015,Pre_2016,Pre_2017,Pre_2018,Pre_2019,Pre_2020,Pre_2021,Pre_2022
130,Haryana_Bhiwani,,,,,,,,,,,,,,,,,,
131,Haryana_Faridabad,,,,,,,,,,,,,,,,,,
132,Haryana_Fatehabad,,,,,,,,,,,,,,,,,,
133,Haryana_Gurgaon,,,,,,,,,,,,,,,,,,
134,Haryana_Hisar,,,,,,,,,,,,,,,,,,
135,Haryana_Jhajjar,,,,,,,,,,,,,,,,,,
136,Haryana_Jind,,,,,,,,,,,,,,,,,,
137,Haryana_Kaithal,,,,,,,,,,,,,,,,,,
138,Haryana_Karnal,,,,,,,,,,,,,,,,,,
139,Haryana_Kurukshetra,,,,,,,,,,,,,,,,,,
140,Haryana_Mahendragarh,,,,,,,,,,,,,,,,,,
141,Haryana_Mewat,,,,,,,,,,,,,,,,,,
142,Haryana_Palwal,,,,,,,,,,,,,,,,,,
143,Haryana_Panchkula,,,,,,,,,,,,,,,,,,
144,Haryana_Panipat,,,,,,,,,,,,,,,,,,
145,Haryana_Rewari,,,,,,,,,,,,,,,,,,
146,Haryana_Rohtak,,,,,,,,,,,,,,,,,,
147,Haryana_Sirsa,,,,,,,,,,,,,,,,,,
148,Haryana_Sonipat,,,,,,,,,,,,,,,,,,
149,Haryana_Yamunanagar,,,,,,,,,,,,,,,,,,
150,Himachal Pradesh_Hamirpur,,,,,,,,,,,,,,,,,,
151,Himachal Pradesh_Kangra,,,,,,,,,,,,,,,,,,
152,Himachal Pradesh_Kullu,,,,,,,,,,,,,,,,,,
153,Himachal Pradesh_Mandi,,,,,,,,,,,,,,,,,,
154,Himachal Pradesh_Sirmaur,,,,,,,,,,,,,,,,,,
155,Himachal Pradesh_Solan,,,,,,,,,,,,,,,,,,
156,Himachal Pradesh_Una,,,,,,,,,,,,,,,,,,
157,Jammu and Kashmir_Rajouri,,,,,,,,,,,,,,,,,,
158,Jammu and Kashmir_Jammu,,,,,,,,,,,,,,,,,,
159,Jammu and Kashmir_Kathua,,,,,,,,,,,,,,,,,,
160,Jammu and Kashmir_Udhampur,,,,,,,,,,,,,,,,,,
161,Jharkhand_Bokaro,,,,,,,,,,,,,,,,,,
162,Jharkhand_Chatra,,,,,,,,,,,,,,,,,,
163,Jharkhand_Deoghar,,,,,,,,,,,,,,,,,,
164,Jharkhand_Dhanbad,,,,,,,,,,,,,,,,,,
165,Jharkhand_Dumka,,,,,,,,,,,,,,,,,,
166,Jharkhand_Garhwa,,,,,,,,,,,,,,,,,,
167,Jharkhand_Giridih,,,,,,,,,,,,,,,,,,
168,Jharkhand_Godda,,,,,,,,,,,,,,,,,,
169,Jharkhand_Gumla,,,,,,,,,,,,,,,,,,
170,Jharkhand_Hazaribagh,,,,,,,,,,,,,,,,,,
171,Jharkhand_Jamtara,,,,,,,,,,,,,,,,,,
172,Jharkhand_Khunti,,,,,,,,,,,,,,,,,,
173,Jharkhand_Kodarma,,,,,,,,,,,,,,,,,,
174,Jharkhand_Latehar,,,,,,,,,,,,,,,,,,
175,Jharkhand_Lohardaga,,,,,,,,,,,,,,,,,,
176,Jharkhand_Pakur,,,,,,,,,,,,,,,,,,
177,Jharkhand_Palamu,,,,,,,,,,,,,,,,,,
178,Jharkhand_Pashchimi Singhbhum,,,,,,,,,,,,,,,,,,
179,Jharkhand_Purbi Singhbhum,,,,,,,,,,,,,,,,,,
180,Jharkhand_Ramgarh,,,,,,,,,,,,,,,,,,
181,Jharkhand_Ranchi,,,,,,,,,,,,,,,,,,
182,Jharkhand_Sahibganj,,,,,,,,,,,,,,,,,,
183,Jharkhand_Saraikela-kharsawan,,,,,,,,,,,,,,,,,,
184,Jharkhand_Simdega,,,,,,,,,,,,,,,,,,
185,Karnataka_Bagalkot,,,,,,,,,,,,,,,,,,
186,Karnataka_Bangalore,,,,,,,,,,,,,,,,,,
187,Karnataka_Bangalore Rural,,,,,,,,,,,,,,,,,,
188,Karnataka_Belgaum,,,,,,,,,,,,,,,,,,
189,Karnataka_Bellary,,,,,,,,,,,,,,,,,,
190,Karnataka_Bidar,,,,,,,,,,,,,,,,,,
191,Karnataka_Bijapur,,,,,,,,,,,,,,,,,,
192,Karnataka_Chamrajnagar,,,,,,,,,,,,,,,,,,
193,Karnataka_Chikballapura,,,,,,,,,,,,,,,,,,
194,Karnataka_Chikmagalur,,,,,,,,,,,,,,,,,,
195,Karnataka_Chitradurga,,,,,,,,,,,,,,,,,,
196,Karnataka_Dakshina Kannada,,,,,,,,,,,,,,,,,,
197,Karnataka_Davanagere,,,,,,,,,,,,,,,,,,
198,Karnataka_Dharwad,,,,,,,,,,,,,,,,,,
199,Karnataka_Gadag,,,,,,,,,,,,,,,,,,
200,Karnataka_Gulbarga,,,,,,,,,,,,,,,,,,
201,Karnataka_Hassan,,,,,,,,,,,,,,,,,,
202,Karnataka_Haveri,,,,,,,,,,,,,,,,,,
