State,Pre_2005,Pre_2006,Pre_2007,Pre_2008,Pre_2009,Pre_2010,Pre_2011,Pre_2012,Pre_2013,Pre_2014,Pre_2015,Pre_2016,Pre_2017,Pre_2018,Pre_2019,Pre_2020,Pre_2021,Pre_2022
Bihar_Gopalganj,3.957857143,3.185,2.414615385,2.605714286,3.125714286,3.941428571,4.226666667,4.260833333,3.744545455,3.385454545,3.382727273,4.190909091,3.934166667,3.504615385,4.119230769,3.697784259,4.220395202,3.723516548
Bihar_Jamui,7.787142857,8.2,8.157142857,8.77,8.621428571,8.718571429,9.358571429,8.965714286,9.082857143,9.56,9.862857143,9.245714286,6.54,8.328571429,8.781428571,8.225652947,8.884578606,8.131476334
Bihar_Jehanabad,5.244,5.1175,3.8575,3.48,4.05,6.802,6.984,5.888,4.814,5.508,5.158,6.534,5.118,5.96,5.772,5.903831854,6.042012536,5.801188713
Bihar_Kaimur,7.351111111,6.418888889,6.615555556,7.092222222,7.267777778,8.861111111,8.473,7.705,7.108,6.672,7.672,7.712,8.478888889,9.307,8.486,8.931484112,8.531360629,8.828700132
Bihar_Katihar,3.936923077,3.640714286,3.728666667,4.713571429,5.464,4.636,4.960714286,4.940666667,4.570666667,4.612666667,5.302142857,5.444615385,4.781666667,4.667857143,3.942142857,4.671197799,4.883278092,4.701030165
Bihar_Khagaria,6.26625,6.7075,6.01,6.58,7.23125,6.81,7.252857143,6.402857143,5.998571429,5.80375,5.6575,5.81125,6.93625,6.46625,6.825,6.540419358,6.706218915,6.547248948
Bihar_Kishanganj,4.318571429,4.312857143,4.322857143,4.077142857,4.207142857,3.901428571,4.181428571,4.573333333,4.84,5.214,5.8875,5.8175,4.8975,6.6125,4.6025,5.64554721,5.179875283,5.662214584
Bihar_Lakhisarai,7.214,7.994,6.67,6.112,5.352,7.368,8.602,6.232,7.166,6.168,7.142,7.986,6.27,7.43,6.6275,7.141179781,6.693048605,7.056543186
Bihar_Madhepura,3.193333333,3.086666667,3.078,4.076666667,3.716666667,4.415,3.951666667,4.128,5.088,4.064,4.424,4.552,4.372,4.234,4.354,4.298566995,4.340630099,4.278266372
Bihar_Madhubani,3.665,3.878571429,3.0525,3.526666667,3.082142857,3.665714286,3.794166667,3.606666667,4.48,3.948666667,4.1,4.165333333,2.522857143,2.906428571,3.387857143,3.098060737,3.020698882,3.10147526
Bihar_Munger,5.96125,5.555,6.05625,5.49,6.35625,6.94,7.11875,7.00625,6.065,6.37875,6.07125,5.6125,6.88,5.3,7.53,5.800253895,6.61719425,6.058038366
Bihar_Muzaffarpur,4.194210526,4.375263158,4.396842105,3.959473684,3.489473684,4.411052632,5.097777778,4.576666667,5.431666667,4.593888889,4.809444444,5.576666667,4.896111111,5.177222222,6.003888889,5.116461259,5.50844712,5.062135763
